,title,text,url
23,Must have gifts for those who want to protect their data - The Washington Post,"[Even if your home isn’t being targeted with an attack, hackers can still use your devices to attack others — which can slow down your network and, of course, runs the risk of compromising your privacy., F-Secure Sense is one of a handful of routers that are specifically designed to protect your home against hackers who have gotten adept at hacking into smart toasters, fridges and other smart appliances as part of broader attacks., TunnelBear is a VPN service that's good for first-time users who may be intimidated by other services, with a cute and accessible design, and has had its claims verified by an independent security review., These sleeves will block all signals, including cellular and GPS, around your device —  meaning that you won't hear notifications go off, for example, and you can gain yourself peace of mind., Those jumping into the smart home trend — or even just concerned about intruders on your home network — may want to consider upgrading the least sexy gadget of them all: the router.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/16/must-have-gifts-for-those-who-value-their-privacy/
24,Gifts for busy people - The Washington Post,"[Whether you're looking to help these people work even smarter, want to make their time working more comfortable, or bring that same sort of focus to the downtime they allow themselves, we've collected a few suggestions that should please the workaholic in your life.    , It’s handy to take with you if you’re working for the day at a coffee shop, to stand at your current desk, or even as a good laptop stand for (gasp!), It can be a bit large on the wrist, with a 1.38-inch display, and (as is true of many smartwatches) will need to be charged at the end of the day., It also boasts a pretty good camera, which lets you adjust the background blur post-shutter — making it a fairly forgiving phone with which to snap a shot., It will display notifications from your phone, so you'll know whether that buzz is an urgent missive from your boss or a message that can wait until after dinner.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/15/gifts-for-the-workaholic-in-your-life/
25,Google Docs is back after a major outage - The Washington Post,"[Google did not say how many people had been affected or what caused the outage., Late October, many users trying to access their documents saw an error message that said their files had been removed for violating Google's terms of service., ”, Google Docs was hit with a widespread outage in North America, leaving some users unable to access their documents stored in the company's cloud service., (Facundo Arrizabalaga/European Pressphoto Agency)  Are you one of the many people who work extensively in Google Docs?]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/15/google-docs-is-back-after-a-major-outage/
27,Tech Gifts under a $100 budget - The Washington Post,"[It’s a bass-heavy speaker by design, so it’s best if you’re trying to get people moving — though it’s still perfectly good if you’re not so interested in a driving beat., The battery pack has two USB slots, so you can simultaneously charge up your iPhone or iPad and also use it to juice up another smartphone, or maybe a set of wireless headphones., $19.99      The design of the Vava Voom 20 Bluetooth Speaker is simple — and you’ll have to like the color black since that's the only hue in which it comes., The MagicFiber Cloth is one of the best cleaning cloths out there — in fact, you’ll see it in the hands of many tech retail workers looking to give their goods a shine., These can be ideal stocking stuffers, particularly if you can find a cord that suits a particular need — a very sturdy one, an extra long one, etc.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/13/best-gifts-under-100/
28,What to know about the FCC’s upcoming plan to undo its net neutrality rules - The Washington Post,"[The legal designation allowed the FCC to more strictly regulate broadband firms than when the companies were known merely as providers of an “information service., Since 2010, the three firms have explored or completed purchases of major media entities, such as NBC Universal, Yahoo and Time Warner, respectively., Jessica Rosenworcel, a Democratic FCC commissioner, said the bot-driven filings were cause for several public hearings on the matter before any net neutrality vote., Pai, a Republican, has argued that the regulations discourage Internet providers from investing in upgrades to their infrastructure and that the rules are an example of government overreach., Net neutrality rules “recognize the importance of maintaining a level playing field for all Internet content — regardless of the creator or owner — to be enjoyed by all users, regardless of their Internet provider,” wrote the mayors of 65 cities in a recent letter to Pai.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/20/what-to-know-about-the-fccs-upcoming-plan-to-undo-its-net-neutrality-rules/?tid=pm_business_pop
29,Episode 11 of the Constitutional podcast: ‘War’ - The Washington Post,"[And that turned out to be true., “Quartering large bodies of armed troops among us., If it serves some type of defense, it’s the defense against other individuals--other civilians--more so than an effective defense against military tyranny., They did not trust armies., When the company’s tea ships arrived in Boston, the colonists wanted the boats to turn around and sail back to England without dropping off their tea.]",https://www.washingtonpost.com/news/on-leadership/wp/2017/11/20/episode-11-of-the-constitutional-podcast-war/?tid=pm_business_pop
30,"Keystone XL pipeline gets Nebraska’s approval, clearing a key hurdle in 9-year effort and allowing Trump to claim a win - The Washington Post","[TransCanada’s $8 billion Keystone XL pipeline got the go-ahead from the Nebraska Public Service Commission on Monday, clearing the last regulatory hurdle in a nine-year effort to build a line to carry thick crude oil from Alberta’s tar sands region to refineries on the Texas Gulf Coast., In her dissent, Rhoades said she opposed the pipeline regardless of the route., “, She noted that the company said it had consulted with the Southern Ponca Tribe, but Rhoades said that resides in Oklahoma., David Domina, who represented landowners before the commission, called the commission’s decision a victory.]",https://www.washingtonpost.com/news/energy-environment/wp/2017/11/20/keystone-xl-pipeline-gets-nebraskas-approval-clearing-a-key-hurdle-in-9-year-effort-and-allowing-trump-to-claim-a-win/?tid=pm_business_pop
31,Why a Republican owner of a booming business says he wants a tax cut (and what it says about the GOP’s biggest goal) - The Washington Post,"[”, This is not an issue that is going to come up with every Congress., And although GOP lawmakers say they are focused on delivering benefits to the ­middle class, Congress’s official scorekeeper says the bulk of the benefits of the proposed legislation flow to the wealthy and to corporations., ”, Congressional Republicans have said this is their biggest policy priority, especially at a time when the GOP remains divided over many other issues.]",https://www.washingtonpost.com/business/economy/now-is-the-opportunity-business-is-good-but-owners-of-firms-say-a-tax-cut-could-make-it-better/2017/11/19/13a0a2ee-cade-11e7-aa96-54417592cf72_story.html?tid=pm_business_pop
32,Keystone pipeline spill injects new uncertainty into Nebraska decision - The Washington Post,"[It remained unclear what had caused the rupture., Opponents of the pipeline are a mixture of climate activists, environmentalists concerned about the impact on the state’s ecologically delicate Sandhills region, and Nebraska farmers and ranchers who have fought TransCanada over the company’s planned exercise of eminent domain to plot the route of the pipeline.  , The independent five-member commission has been under pressure from the Nebraska state legislature and labor unions to approve the pipeline while environmental groups and prairie populists have vowed to appeal, if necessary, to the courts and follow that up with civil disobedience.  ,  The TransCanada oil pipeline rupture in a remote corner of South Dakota injects an unexpected element of suspense into the decision over the controversial Keystone XL pipeline due Monday at Nebraska’s Public Service Commission.  , The commissioners’ decision remains one of the last hurdles for the roughly $8 billion Keystone XL pipeline, which has become central to the battle over climate change and energy infrastructure and was a campaign promise for President Trump.  ]",https://www.washingtonpost.com/business/economy/keystone-pipeline-spill-injects-new-uncertainty-into-nebraska-decision/2017/11/19/e1d1a0e2-cb0f-11e7-b0cf-7689a9f2d84e_story.html?tid=pm_business_pop
33,"James B. Comey: A Zen-like tweeter, revered as a Trump troll - The Washington Post","[Book of @Comey, verse 21, reply thread   , “, For Niebuhr the true prophet is an internationalist who casts all national pretensions in the light of divine judgment., All of Comey’s, Comey began his Twitter work in secrecy in 2014, when he was still employed as director of the FBI.]",https://www.washingtonpost.com/news/the-intersect/wp/2017/11/20/james-b-comey-a-zen-like-tweeter-revered-as-a-trump-troll/
